Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
BMW 3 Series,BMW,320d,2011,92000,Diesel,13.2,1995,170,34.7,First Owner,Automatic,Chennai,775000
BMW 3 Series GT,BMW,Luxury Line,2017,50000,Diesel,21.76,1995,188,400,First Owner,Automatic,Chennai,3200000
Mercedes-Benz E-Class,Mercedes,Exclusive E 220 d BSIV,2017,12000,Diesel,16.1,1950,191.7,400,First Owner,Automatic,Chennai,4550000
Hyundai Creta,Hyundai,1.6 VTVT E Plus,2018,15000,Petrol,15.29,1591,121.3,151,First Owner,Manual,Chennai,865000
Audi A6,Audi,2.0 TDI,2013,71000,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Chennai,1700000
Toyota Innova,Toyota,2.5 VX (Diesel) 8 Seater,2014,183000,Diesel,12.99,2494,100,200,First Owner,Manual,Chennai,1300000
Toyota Innova Crysta,Toyota,2.8 AT Touring Sport BSIV,2017,78119,Diesel,11.36,2755,171.5,360,First Owner,Automatic,Chennai,1900000
Toyota Innova Crysta,Toyota,2.4 ZX MT,2016,89801,Diesel,13.68,2393,147.51,343,First Owner,Manual,Chennai,1720000
BMW 7 Series,BMW,Signature 730Ld,2016,40000,Diesel,16.46,2993,258,560,First Owner,Automatic,Chennai,6000000
Maruti Ertiga,Maruti,ZDI,2014,60000,Diesel,20.77,1248,88.8,200,First Owner,Manual,Chennai,695000
Mahindra Scorpio,Mahindra,VLX 4WD 7S BSIV,2012,120000,Diesel,12.05,2179,120,290,First Owner,Manual,Chennai,625000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus,2018,29999,Petrol,15.9,1496,120.69,149,First Owner,Manual,Chennai,990000
Hyundai Creta,Hyundai,1.6 SX Automatic Diesel,2015,84000,Diesel,17.6,1582,126.2,259.87,First Owner,Automatic,Chennai,925000
Mercedes-Benz A Class,Mercedes,A180 CDI,2014,55000,Diesel,20,2143,107.3,250,Second Owner,Automatic,Chennai,1350000
Mahindra TUV 300,Mahindra,T8,2017,40000,Diesel,18.49,1493,100,240,First Owner,Manual,Chennai,885000
Mahindra TUV 300,Mahindra,T8 AMT,2019,50000,Diesel,18.49,1493,100,230,First Owner,Automatic,Chennai,945000
Jaguar XF,Jaguar,2.0 Diesel Portfolio,2018,78000,Diesel,19.33,1999,177,430,First Owner,Automatic,Chennai,3600000
Hyundai Creta,Hyundai,1.6 SX Automatic,2017,30000,Petrol,14.8,1591,121.3,151,First Owner,Automatic,Chennai,1090000
Volvo S60,Volvo,D4 KINETIC,2017,46000,Diesel,27.03,1969,190,400,First Owner,Automatic,Chennai,1725000
Audi Q3,Audi,2.0 TDI Quattro Premium Plus,2014,69000,Diesel,15.73,1968,174.33,380,Second Owner,Automatic,Chennai,1575000
Ford Ecosport,Ford,1.5 Diesel Trend,2018,25000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,825000
Renault Duster,Renault,110PS Diesel RxZ AWD,2017,24000,Diesel,19.72,1461,108.45,245,First Owner,Manual,Chennai,950000
Honda WR-V,Honda,i-VTEC VX,2017,45000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,800000
Mercedes-Benz CLS-Class,Mercedes,250 CDI,2013,70000,Diesel,19.4,2143,204,500,First Owner,Automatic,Chennai,1575000
Maruti Eeco,Maruti,7 Seater Standard BSIV,2013,32000,Petrol,15.37,1196,73,101,First Owner,Manual,Chennai,350000
BMW 5 Series,BMW,GT 530d LE,2011,84000,Diesel,16.2,2993,258,560,First Owner,Automatic,Chennai,2700000
Mahindra Scorpio,Mahindra,LX,2012,111100,Diesel,12.05,2179,120,290,Second Owner,Manual,Chennai,580000
Mahindra XUV500,Mahindra,W8 FWD,2012,77000,Diesel,15.1,2179,140,330,Second Owner,Manual,Chennai,775000
Ford Ecosport,Ford,1.5 Petrol Ambiente BSIV,2018,17000,Petrol,17,1497,121.36,150,First Owner,Manual,Chennai,745000
Hyundai Creta,Hyundai,1.6 CRDi SX Option,2017,43000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,11700000
Mahindra NuvoSport,Mahindra,N8 AMT,2016,47000,Diesel,17.45,1493,100,240,First Owner,Automatic,Chennai,675000
Mahindra TUV 300,Mahindra,T8,2017,40000,Diesel,18.49,1493,100,240,First Owner,Manual,Chennai,885000
Mahindra TUV 300,Mahindra,T8 AMT,2019,50000,Diesel,18.49,1493,100,230,First Owner,Automatic,Chennai,945000
Hyundai Venue,Hyundai,SX Plus Dual Tone Turbo DCT,2019,13000,Petrol,18.15,998,118.35,171.6,First Owner,Automatic,Chennai,11700000
Honda WR-V,Honda,i-VTEC VX,2017,45000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,795000
Hyundai Santa Fe,Hyundai,4X2,2010,175000,Diesel,14.66,2199,194.3,420.7,Third Owner,Manual,Chennai,600000
Toyota Innova,Toyota,2.5 V Diesel 7-seater,2010,144000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Chennai,925000
Jeep Compass,Jeep,1.4 Limited Plus,2020,5000,Petrol,14.1,1368,160.77,250,First Owner,Automatic,Chennai,2290000
Maruti XL6,Maruti,Alpha AT,2020,23800,Petrol,17.99,1462,103.2,138,First Owner,Automatic,Chennai,1200000
Maruti Vitara Brezza,Maruti,ZDi Plus Dual Tone,2019,14000,Diesel,24.3,1248,88.5,200,First Owner,Manual,Chennai,1150000
Toyota Innova Crysta,Toyota,2.4 GX AT 8 STR,2018,47000,Diesel,13.68,2393,147.51,360,First Owner,Automatic,Chennai,1875000
Ford Ecosport,Ford,1.5 Petrol Titanium AT,2016,44000,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,775000
Toyota Fortuner,Toyota,4x4 MT,2016,75000,Diesel,12.55,2982,168.5,343,First Owner,Manual,Chennai,2150000
Mercedes-Benz M-Class,Mercedes,ML 350 CDI,2013,120000,Diesel,11.74,2987,254.8,619,First Owner,Automatic,Chennai,2400000
Toyota Innova Crysta,Toyota,2.8 ZX AT BSIV,2019,12100,Diesel,11.36,2755,171.5,360,First Owner,Automatic,Chennai,2500000
Mercedes-Benz B Class,Mercedes,B200 CDI,2017,34000,Diesel,15,2143,107.3,250,First Owner,Automatic,Chennai,2025000
Maruti SX4 S Cross,Maruti,Zeta DDiS 200 SH,2018,23000,Diesel,25.1,1248,88.5,200,First Owner,Manual,Chennai,925000
Honda WR-V,Honda,i-DTEC VX,2017,46000,Diesel,25.5,1498,98.6,200,First Owner,Manual,Chennai,875000
Ford Endeavour,Ford,Titanium Plus 4X4 AT,2021,8000,Diesel,12.4,1996,167.62,420,First Owner,Automatic,Chennai,3850000
Toyota Innova,Toyota,2.5 VX (Diesel) 7 Seater,2013,130000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1175000
Toyota Innova Crysta,Toyota,2.8 ZX AT BSIV,2016,100000,Diesel,11.36,2755,171.5,360,First Owner,Automatic,Chennai,1890000
Volvo S 80,Volvo,D3 Summum,2011,115000,Diesel,16,1985,163,400,Second Owner,Automatic,Chennai,1300000
Mahindra Ssangyong Rexton,Mahindra,RX7,2012,100500,Diesel,11.18,2696,184,402,Second Owner,Automatic,Chennai,750000
Nissan Terrano,Nissan,XV 110 PS,2015,65000,Diesel,19.01,1461,108.5,248,First Owner,Manual,Chennai,675000
Toyota Innova,Toyota,2.5 GX (Diesel) 7 Seater BS IV,2016,90000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1485000
Audi Q3,Audi,30 TDI S Edition,2015,72000,Diesel,17.32,1968,138.13,320,Second Owner,Manual,Chennai,1396000
Mercedes-Benz New C-Class,Mercedes,C 220 CDI Avantgarde,2013,55000,Diesel,19.27,2143,170,400,Second Owner,Automatic,Chennai,1450000
Toyota Fortuner,Toyota,4x4 AT,2014,69000,Diesel,12.55,2982,168.5,360,First Owner,Automatic,Chennai,1790000
Mercedes-Benz New C-Class,Mercedes,Progressive C 220d,2013,45000,Diesel,12.6,1950,194,400,Second Owner,Automatic,Chennai,1390000
Mahindra Xylo,Mahindra,E8,2011,72000,Diesel,14,2498,112,260,First Owner,Manual,Chennai,575000
Mahindra Marazzo,Mahindra,M8 8Str,2020,23000,Diesel,17.3,1497,121,300,First Owner,Manual,Chennai,1425000
Honda WR-V,Honda,i-VTEC S,2017,40000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,725000
Mercedes-Benz GLA Class,Mercedes,200 CDI SPORT,2015,101500,Diesel,17.9,2143,136,300,First Owner,Automatic,Chennai,1850000
Hyundai Creta,Hyundai,1.6 VTVT SX Plus,2016,75000,Petrol,13,1591,121.3,151,First Owner,Manual,Chennai,925000
Mercedes-Benz E-Class,Mercedes,Exclusive E 220d,2019,20000,Diesel,16.1,1950,191.7,400,First Owner,Automatic,Chennai,5700000
Mahindra Quanto,Mahindra,C8,2012,28450,Diesel,17.21,1493,100,240,First Owner,Manual,Chennai,370000
Kia Sonet,Kia,GTX Plus Turbo DCT DT,2020,3000,Petrol,18.3,998,118.36,172,First Owner,Automatic,Chennai,1450000
Mahindra TUV 300,Mahindra,T8 AMT,2015,53536,Diesel,18.49,1493,100,230,First Owner,Automatic,Chennai,650000
Renault Duster,Renault,110PS Diesel RxL,2013,115079,Diesel,19.64,1461,108.45,245,Second Owner,Manual,Chennai,450000
Toyota Innova,Toyota,2.5 G (Diesel) 8 Seater,2011,300000,Diesel,12.99,2494,100,200,First Owner,Manual,Chennai,660000
Maruti Gypsy,Maruti,W410 4X4,2008,10000,Petrol,14.8,1298,80,103,First Owner,Manual,Chennai,450000
Renault Duster,Renault,110PS Diesel RxZ AWD,2017,24000,Diesel,19.72,1461,108.45,245,First Owner,Manual,Chennai,945000
Land Rover Discovery Sport,Land Rover,TD4 HSE 7S,2016,45000,Diesel,12.81,1999,148.31,382,First Owner,Automatic,Chennai,3600000
Mercedes-Benz GLE Class,Mercedes,350d,2016,25000,Diesel,11.57,2987,254.79,620,Second Owner,Automatic,Chennai,4100000
BMW X1,BMW,sDrive 20d xLine,2017,30000,Diesel,20.68,1995,188,400,Second Owner,Automatic,Chennai,2300000
Audi Q5,Audi,35TDI Technology,2018,34000,Diesel,17.01,1968,188,400,First Owner,Automatic,Chennai,4860000
Porsche Cayenne,Porsche,Diesel,2014,95000,Diesel,15.15,2967,240,550,First Owner,Automatic,Chennai,4500000
Ford Ecosport,Ford,1.5 Diesel Titanium,2016,32000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,735000
Ford Ecosport,Ford,1.5 TDCi Titanium BSIV,2018,26000,Diesel,22.77,1498,98.59,205,First Owner,Manual,Chennai,890000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT BSIV,2018,30000,Petrol,14.8,1497,121.36,150,First Owner,Automatic,Chennai,945000
Mahindra Marazzo,Mahindra,M8 8Str,2020,14000,Diesel,17.3,1497,121,300,First Owner,Manual,Chennai,1500000
Ford Ecosport,Ford,1.5 DV5 MT Trend,2013,80000,Diesel,22.7,1498,89.84,204,Second Owner,Manual,Chennai,450000
Nissan Terrano,Nissan,XV Premium 110 PS,2015,53000,Diesel,19.01,1461,108.5,248,First Owner,Manual,Chennai,625000
BMW X6,BMW,xDrive30d,2012,102000,Diesel,11.2,2993,241,540,Second Owner,Automatic,Chennai,2500000
Renault Duster,Renault,110PS Diesel RxZ AWD,2017,24000,Diesel,19.72,1461,108.45,245,First Owner,Manual,Chennai,945000
Land Rover Discovery Sport,Land Rover,TD4 HSE 7S,2016,45000,Diesel,12.81,1999,148.31,382,First Owner,Automatic,Chennai,3600000
Mercedes-Benz GLE Class,Mercedes,350d,2016,25000,Diesel,11.57,2987,254.79,620,Second Owner,Automatic,Chennai,4100000
BMW X1,BMW,sDrive 20d xLine,2017,30000,Diesel,20.68,1995,188,400,Second Owner,Automatic,Chennai,2300000
Audi Q5,Audi,35TDI Technology,2018,34000,Diesel,17.01,1968,188,400,First Owner,Automatic,Chennai,4860000
Porsche Cayenne,Porsche,Diesel,2014,95000,Diesel,15.15,2967,240,550,First Owner,Automatic,Chennai,4500000
Ford Ecosport,Ford,1.5 Diesel Titanium,2016,32000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,735000
Ford Ecosport,Ford,1.5 Diesel Titanium Plus BSIV,2018,43000,Diesel,23,1498,98.96,205,First Owner,Manual,Chennai,930000
Renault Duster,Renault,110PS Diesel RxZ AWD,2017,25000,Diesel,19.72,1461,108.45,245,First Owner,Manual,Chennai,985000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT,2018,37000,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,875000
Ford Ecosport,Ford,1.5 Diesel Titanium,2018,45000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,920000
Nissan Terrano,Nissan,XV 110 PS,2015,62000,Diesel,19.01,1461,108.5,248,First Owner,Manual,Chennai,670000
Kia Seltos,Kia,GTX Plus DCT,2020,7000,Petrol,16.8,1353,138.08,242,First Owner,Automatic,Chennai,1825000
Renault Duster,Renault,RXZ Turbo,2020,2000,Petrol,16.42,1330,153.866,254,Test Drive Car,Manual,Chennai,1223000
Honda WR-V,Honda,i-VTEC VX,2018,23000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,875000
Hyundai Creta,Hyundai,1.6 VTVT SX Plus,2019,15000,Petrol,13,1591,121.3,151,First Owner,Manual,Chennai,1100000
Hyundai Creta,Hyundai,1.6 VTVT AT SX Plus,2018,41000,Petrol,13,1591,121.3,151,First Owner,Automatic,Chennai,1250000
Mahindra XUV500,Mahindra,W11 Option BSIV,2019,31800,Diesel,15.1,2179,152.87,360,First Owner,Manual,Chennai,1790000
Toyota Innova,Toyota,2.5 GX (Diesel) 8 Seater,2015,100000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1225000
Mahindra Scorpio,Mahindra,VLX 2WD 7 Str BSIII,2012,117500,Diesel,12.05,2179,120,290,First Owner,Manual,Chennai,650000
Maruti Eeco,Maruti,5 Seater AC BSIV,2012,111260,Petrol,15.37,1196,73,101,First Owner,Manual,Chennai,250000
Maruti Ertiga,Maruti,VDI,2014,87000,Diesel,20.77,1248,88.76,200,First Owner,Manual,Chennai,610000
Mitsubishi Pajero,Mitsubishi,Sport 4X4,2014,97350,Diesel,13.5,2477,175.56,400,First Owner,Manual,Chennai,1325000
Maruti Eeco,Maruti,7 Seater Standard BSIV,2020,15000,Petrol,15.37,1196,73,101,First Owner,Manual,Chennai,465000
Mahindra XUV500,Mahindra,W8 AWD,2012,85000,Diesel,15.1,2179,140,330,First Owner,Manual,Chennai,800000
Kia Carnival,Kia,Premium,2020,9000,Diesel,14.11,2199,197.2,440,First Owner,Automatic,Chennai,2500000
BMW 5 Series,BMW,530d,2008,79000,Diesel,16.2,2993,258,560,First Owner,Automatic,Chennai,950000
Hyundai Santa Fe,Hyundai,4X2,2011,105500,Diesel,14.66,2199,194.3,420.7,First Owner,Manual,Chennai,449000
Toyota Innova,Toyota,2.5 Z Diesel 7 Seater,2015,114000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1400000
Renault Duster,Renault,110PS Diesel RxL,2015,73000,Diesel,19.01,1461,108.45,248,First Owner,Manual,Chennai,625000
Maruti XL6,Maruti,Alpha AT,2021,1600,Petrol,17.99,1462,103.2,138,First Owner,Automatic,Chennai,1300000
Toyota Fortuner,Toyota,4x4 AT,2015,45000,Diesel,12.55,2982,168.5,360,First Owner,Automatic,Chennai,2175000
Honda WR-V,Honda,i-VTEC VX,2017,45000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,800000
Audi A6,Audi,3.0 TDI Quattro Premium Plus,2011,55000,Diesel,14.57,2967,241.38,500,Second Owner,Automatic,Chennai,1449000
Toyota Innova Crysta,Toyota,2.4 ZX AT,2020,2500,Diesel,13.68,2393,147.51,360,First Owner,Automatic,Chennai,2790000
Maruti Eeco,Maruti,5 Seater AC,2017,33000,Petrol,16.11,1196,72.42,98,Second Owner,Manual,Chennai,390000
Maruti Eeco,Maruti,5 Seater AC,2017,33000,Petrol,16.11,1196,72.42,98,Second Owner,Manual,Chennai,390000
Maruti SX4 S Cross,Maruti,DDiS 320 Alpha,2016,98000,Diesel,22.7,1598,118,320,First Owner,Manual,Chennai,740000
Mercedes-Benz GLC,Mercedes,43 AMG Coupe,2019,8000,Petrol,11.5,2996,362,520,First Owner,Automatic,Chennai,6800000
Renault Duster,Renault,85PS Diesel RxE,2014,131294,Diesel,20.45,1461,83.8,200,First Owner,Manual,Chennai,450000
Mercedes-Benz E-Class,Mercedes,Expression E 220,2018,7000,Petrol,15,1991,194.4,300,First Owner,Automatic,Chennai,5900000
Renault Duster,Renault,Adventure Edition RXZ AWD,2017,23000,Diesel,19.72,1461,108.45,245,Second Owner,Manual,Chennai,875000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2016,62100,Diesel,23,1498,98.96,205,First Owner,Manual,Chennai,715000
Chevrolet Enjoy,Chevrolet,1.3 TCDi LTZ 8,2016,61000,Diesel,18.2,1248,73.74,172.5,First Owner,Manual,Chennai,560000
Mahindra XUV500,Mahindra,W9 2WD,2019,19000,Diesel,16,2179,138,330,First Owner,Manual,Chennai,1650000
Renault Duster,Renault,Adventure Edition RXZ AWD,2017,23000,Diesel,19.72,1461,108.45,245,Second Owner,Manual,Chennai,865000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT,2016,69000,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,690000
Hyundai Creta,Hyundai,1.6 SX Automatic Diesel,2015,84000,Diesel,17.6,1582,126.2,259.87,First Owner,Automatic,Chennai,925000
Ford Ecosport,Ford,1.5 Ti VCT MT Trend,2013,53000,Petrol,15.8,1499,110,140,First Owner,Manual,Chennai,475000
BMW 3 Series,BMW,320d Luxury Line,2014,100000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,1650000
Maruti Ertiga,Maruti,ZXI,2013,80000,Petrol,19.01,1462,103.26,138,First Owner,Manual,Chennai,625000
Ford Ecosport,Ford,1.5 Petrol Titanium AT,2018,6000,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,1025000
Hyundai Venue,Hyundai,SX Plus Turbo DCT,2019,14000,Petrol,18.15,998,118.35,172,First Owner,Automatic,Chennai,1125000
Maruti Ertiga,Maruti,VDI,2013,49000,Diesel,20.77,1248,88.76,200,First Owner,Manual,Chennai,675000
BMW 3 Series,BMW,GT 320d Luxury Line,2015,24000,Diesel,19.59,1995,184,380,First Owner,Automatic,Chennai,3000000
BMW 7 Series,BMW,730Ld DPE Signature,2016,54000,Diesel,16.77,2993,261.49,620,Second Owner,Automatic,Chennai,5650000
Honda BR-V,Honda,i-VTEC V MT,2016,65000,Petrol,15.4,1497,117.3,145,First Owner,Manual,Chennai,790000
Jeep Compass,Jeep,2.0 Limited Option,2017,69000,Diesel,17.1,1956,170,350,First Owner,Manual,Chennai,1375000
Mahindra Scorpio,Mahindra,1.99 S4 Plus,2014,45000,Diesel,15.4,1997,120,280,First Owner,Manual,Chennai,840000
BMW 3 Series,BMW,320d Luxury Line,2015,30000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,2300000
Mahindra Marazzo,Mahindra,M8,2020,14000,Diesel,17.3,1497,121,300,First Owner,Manual,Chennai,1500000
Ford Endeavour,Ford,2.5L 4X2 MT,2015,170000,Diesel,13.1,2499,141,330,First Owner,Manual,Chennai,900000
Toyota Innova,Toyota,2.5 V Diesel 7-seater,2009,178000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Chennai,785000
Mercedes-Benz E-Class,Mercedes,Elegance 230,2009,65000,Petrol,0,2497,203.8,25,Second Owner,Automatic,Chennai,970000
Toyota Innova Crysta,Toyota,2.4 GX AT,2017,120000,Diesel,13.68,2393,147.51,360,First Owner,Automatic,Chennai,1750000
Mahindra Logan,Mahindra,Diesel 1.5 DLE,2010,78000,Diesel,19.2,1461,65,16,Second Owner,Manual,Chennai,160000
Maruti Eeco,Maruti,5 Seater AC BSIV,2012,111080,Petrol,15.37,1196,73,101,First Owner,Manual,Chennai,250000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT,2018,13151,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,970000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT,2018,9649,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,975000
BMW 3 Series,BMW,320d Luxury Line,2013,50000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,1600000
Renault Duster,Renault,110PS Diesel RxZ,2014,38000,Diesel,19.6,1461,108.45,245,First Owner,Manual,Chennai,685000
Hyundai Creta,Hyundai,1.6 CRDi SX,2016,58000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,975000
Ford Endeavour,Ford,2.2 Trend MT 4X4,2016,34000,Diesel,13.5,2198,157.7,385,First Owner,Manual,Chennai,2190000
Ford Ecosport,Ford,1.5 TDCi Titanium BSIV,2017,100200,Diesel,22.77,1498,98.59,205,First Owner,Manual,Chennai,690000
Mahindra XUV500,Mahindra,W4 1.99 mHawk,2015,99900,Diesel,16,1997,140,320,First Owner,Manual,Chennai,850000
BMW 3 Series,BMW,320d Sport,2017,37000,Diesel,22.69,1995,190,400,First Owner,Automatic,Chennai,2890000
Mahindra TUV 300,Mahindra,mHAWK100 T8 AMT,2018,52000,Diesel,18.49,1493,100,240,First Owner,Automatic,Chennai,950000
Mercedes-Benz New C-Class,Mercedes,220,2008,103000,Diesel,15.8,2148,170,42,First Owner,Manual,Chennai,860000
Tata Nexon,Tata,1.2 Revotron XM,2018,23122,Petrol,17,1198,108.5,170,First Owner,Manual,Chennai,725000
Kia Sonet,Kia,1.5 GTX Plus Diesel AT,2020,8000,Diesel,19,1493,113.42,250,First Owner,Automatic,Chennai,1450000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2018,26000,Diesel,23,1498,98.96,205,First Owner,Manual,Chennai,890000
Ford Ecosport,Ford,1.0 Ecoboost Titanium Optional,2013,81300,Petrol,18.88,999,123.37,170,Second Owner,Manual,Chennai,425000
Ford Ecosport,Ford,1.5 Petrol Titanium AT,2016,92000,Petrol,14.7,1496,120.69,149,Second Owner,Automatic,Chennai,590000
Renault Duster,Renault,Petrol RxL,2015,35115,Petrol,13.24,1598,102.57,145,Second Owner,Manual,Chennai,450000
Jeep Compass,Jeep,2.0 Limited,2017,58000,Diesel,17.1,1956,170,350,First Owner,Manual,Chennai,1390000
Toyota Fortuner,Toyota,2.8 4WD MT BSIV,2017,43000,Diesel,14.24,2755,174.5,420,Second Owner,Manual,Chennai,2700000
Ford Ecosport,Ford,1.5 Petrol Trend Plus AT BSIV,2018,19000,Petrol,14.8,1497,121.36,150,First Owner,Automatic,Chennai,890000
Maruti Ertiga,Maruti,VDI,2014,87033,Diesel,20.77,1248,88.76,200,First Owner,Manual,Chennai,610000
Mahindra Scorpio,Mahindra,VLX 2WD BSIV,2011,115000,Diesel,12.05,2179,120,290,First Owner,Manual,Chennai,650000
Renault Duster,Renault,Petrol RxL,2015,34234,Petrol,13.24,1598,102.57,145,Second Owner,Manual,Chennai,450000
Ford Ecosport,Ford,1.5 Diesel Titanium,2020,13000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,1025000
Tata Hexa,Tata,XT,2018,58000,Diesel,17.6,2179,153.86,400,First Owner,Manual,Chennai,1350000
MG Gloster,MG,Savvy 6-Str,2021,8000,Diesel,12.4,1996,215.01,480,First Owner,Automatic,Chennai,4000000
Maruti XL6,Maruti,Alpha AT,2021,1600,Petrol,17.99,1462,103.2,138,First Owner,Automatic,Chennai,1275000
Hyundai Santa Fe,Hyundai,4WD AT,2016,99990,Diesel,13.01,2199,194.3,436.39,First Owner,Automatic,Chennai,1450000
Hyundai Santa Fe,Hyundai,4WD AT,2014,156000,Diesel,13.01,2199,194.3,436.39,Second Owner,Automatic,Chennai,1100000
Toyota Innova,Toyota,2.5 VX (Diesel) 7 Seater,2015,67000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1500000
Honda BR-V,Honda,i-VTEC V MT,2018,43000,Petrol,15.4,1497,117.3,145,First Owner,Manual,Chennai,935000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2018,31000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,1310000
Maruti Ertiga,Maruti,SHVS VDI,2017,41000,Diesel,24.52,1248,88.5,200,First Owner,Manual,Chennai,870000
Mahindra XUV300,Mahindra,W6 AMT Diesel,2020,24000,Diesel,20,1497,115,300,First Owner,Automatic,Chennai,1155000
BMW 3 Series,BMW,320d Luxury Line,2018,20000,Diesel,22.69,1995,190,400,First Owner,Automatic,Chennai,3450000
Nissan Terrano,Nissan,XL,2016,29000,Petrol,13.24,1598,102.5,145,First Owner,Manual,Chennai,675000
Toyota Innova Crysta,Toyota,2.8 ZX AT BSIV,2019,12000,Diesel,11.36,2755,171.5,360,First Owner,Automatic,Chennai,2500000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT BSIV,2018,24000,Petrol,14.8,1497,121.36,150,First Owner,Automatic,Chennai,945000
Renault Duster,Renault,85PS Diesel RxL,2015,25000,Diesel,19.87,1461,83.8,200,Second Owner,Manual,Chennai,650000
Ford Ecosport,Ford,1.5 Diesel Trend Plus BSIV,2017,37000,Diesel,23,1498,98.96,205,First Owner,Manual,Chennai,775000
Toyota Innova,Toyota,2.5 Z Diesel 7 Seater,2015,147000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1350000
Toyota Innova,Toyota,2.5 V Diesel 8-seater,2010,144000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Chennai,925000
Maruti Vitara Brezza,Maruti,VDi,2017,83000,Diesel,24.3,1248,88.5,200,First Owner,Manual,Chennai,850000
Toyota Innova,Toyota,2.5 G (Diesel) 8 Seater BS IV,2007,170000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Chennai,575000
